Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;GUT005__Befoerderte_Guetermenge__1000_t;GUT004__Befoerderungsleistung__Mill._Tkm
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERKABOTAGE;Kabotage;12044;1770
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGEWERBINSG;Gewerblicher Verkehr und Werkverkehr insgesamt;3035334;314816
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERBINNEN;Binnenverkehr;2910109;269651
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGRENZ;Grenzüberschreitender Verkehr;112832;43374
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERVERSAND;Grenzüberschreitender Versand;62568;22902
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VEREMPFANG;Grenzüberschreitender Empfang;44494;17095
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERKABOTAGE;Kabotage;12393;1792
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGEWERBINSG;Gewerblicher Verkehr und Werkverkehr insgesamt;3111819;315769
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERBINNEN;Binnenverkehr;2985961;271676
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERGRENZ;Grenzüberschreitender Verkehr;115943;42478
46231;Straßengüterverkehrsstatistik;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;VERWG2;Verkehrswege;VERVERSAND;Grenzüberschreitender Versand;64198;22319
